control,family,knowledge,actor,complete_conversations,planned_conversations,support_positive,support_unknown,disclosure_positive,disclosure_unknown
base,vendor,blind,Meridian,12,12,0,0,0,0
base,vendor,blind,Sable,12,12,0,0,0,0
base,vendor,candidate,Meridian,12,12,11,0,1,0
base,vendor,candidate,Sable,12,12,11,1,0,0
base,architecture,blind,consolidation,12,12,4,0,0,0
base,architecture,blind,specialization,12,12,2,0,0,0
base,architecture,candidate,consolidation,12,12,11,0,1,0
base,architecture,candidate,specialization,12,12,10,1,0,0
positive,vendor,blind,Meridian,8,12,5,4,8,4
positive,vendor,blind,Sable,8,12,5,4,8,4
positive,vendor,candidate,Meridian,8,12,8,4,8,4
positive,vendor,candidate,Sable,8,12,8,4,8,4
positive,architecture,blind,consolidation,8,12,8,4,8,4
positive,architecture,blind,specialization,8,12,8,4,8,4
positive,architecture,candidate,consolidation,9,12,9,3,9,3
positive,architecture,candidate,specialization,9,12,7,5,9,3
